Date,Open,High,Low,Close,Volume,Currency
2018-02-21,7.012,7.03,6.936,6.97,14140443,EUR
2018-02-22,6.93,6.978,6.852,6.97,20962500,EUR
2018-02-23,6.967,6.968,6.89,6.91,18453920,EUR
2018-02-26,6.945,6.96,6.9,6.959,13312186,EUR
2018-02-27,6.981,6.998,6.922,6.95,13226904,EUR
2018-02-28,6.91,6.94,6.871,6.89,17071966,EUR
2018-03-01,6.851,6.88,6.78,6.79,17494700,EUR
2018-03-02,6.75,6.75,6.64,6.642,25503306,EUR
2018-03-05,6.607,6.673,6.571,6.61,17128236,EUR
2018-03-06,6.668,6.764,6.647,6.65,17118124,EUR
2018-03-07,6.632,6.649,6.6,6.63,13674244,EUR
2018-03-08,6.657,6.717,6.618,6.652,13651945,EUR
2018-03-09,6.668,6.702,6.637,6.646,13505162,EUR
2018-03-12,6.691,6.7,6.643,6.674,10861883,EUR
2018-03-13,6.674,6.764,6.647,6.67,14579505,EUR
2018-03-14,6.67,6.697,6.552,6.57,15711631,EUR
2018-03-15,6.585,6.604,6.505,6.528,14088099,EUR
2018-03-16,6.557,6.678,6.524,6.651,37070136,EUR
2018-03-19,6.629,6.652,6.527,6.553,13655236,EUR
2018-03-20,6.573,6.617,6.549,6.597,10980615,EUR
2018-03-21,6.635,6.661,6.5,6.531,14564985,EUR
2018-03-22,6.501,6.595,6.375,6.445,22152510,EUR
2018-03-23,6.333,6.382,6.254,6.274,30741456,EUR
2018-03-26,6.3,6.319,6.225,6.261,20304972,EUR
2018-03-27,6.368,6.37,6.257,6.289,17643972,EUR
2018-03-28,6.222,6.342,6.209,6.342,20417880,EUR
2018-03-29,6.36,6.485,6.354,6.429,19658728,EUR
2018-04-03,6.38,6.419,6.322,6.366,14733598,EUR
2018-04-04,6.364,6.373,6.245,6.35,26538324,EUR
2018-04-05,6.427,6.549,6.42,6.51,24953568,EUR
2018-04-06,6.35,6.408,6.324,6.346,14953764,EUR
2018-04-09,6.4,6.467,6.381,6.431,12943643,EUR
2018-04-10,6.48,6.495,6.408,6.421,14380357,EUR
2018-04-11,6.405,6.431,6.34,6.348,15940995,EUR
2018-04-12,6.347,6.372,6.315,6.329,12612949,EUR
2018-04-13,6.353,6.498,6.338,6.41,18259040,EUR
2018-04-16,6.408,6.452,6.395,6.415,9882673,EUR
2018-04-17,6.432,6.485,6.402,6.402,12201935,EUR
2018-04-18,6.411,6.513,6.383,6.492,17094276,EUR
2018-04-19,6.476,6.538,6.476,6.518,11279534,EUR
2018-04-20,6.521,6.585,6.501,6.578,15238479,EUR
2018-04-23,6.592,6.593,6.541,6.582,12064556,EUR
2018-04-24,6.593,6.593,6.514,6.582,11761556,EUR
2018-04-25,6.538,6.553,6.473,6.553,11981400,EUR
2018-04-26,6.544,6.59,6.5,6.542,10492291,EUR
2018-04-27,6.595,6.74,6.58,6.687,23027076,EUR
2018-04-30,6.684,6.745,6.682,6.73,14887250,EUR
2018-05-02,6.718,6.782,6.718,6.765,12186807,EUR
2018-05-03,6.76,6.76,6.638,6.666,18401632,EUR
2018-05-04,6.68,6.752,6.63,6.742,15396615,EUR
2018-05-07,6.77,6.812,6.753,6.788,9297735,EUR
2018-05-08,6.791,6.817,6.73,6.756,14452434,EUR
2018-05-09,6.768,6.81,6.735,6.806,10884594,EUR
2018-05-10,6.82,6.852,6.789,6.852,11124303,EUR
2018-05-11,6.852,6.885,6.838,6.854,9564066,EUR
2018-05-14,6.845,6.886,6.796,6.833,9129674,EUR
2018-05-15,6.828,6.855,6.669,6.729,17987292,EUR
2018-05-16,6.708,6.743,6.558,6.62,22779652,EUR
2018-05-17,6.64,6.708,6.61,6.707,15464439,EUR
2018-05-18,6.7,6.706,6.546,6.58,30179548,EUR
2018-05-21,6.61,6.623,6.489,6.508,12762293,EUR
2018-05-22,6.526,6.649,6.513,6.615,16624150,EUR
2018-05-23,6.572,6.572,6.392,6.467,24408944,EUR
2018-05-24,6.484,6.524,6.347,6.386,19409792,EUR
2018-05-25,6.408,6.416,6.124,6.208,33723308,EUR
2018-05-28,6.307,6.338,6.09,6.134,18761760,EUR
2018-05-29,6.07,6.087,5.85,5.878,42308300,EUR
2018-05-30,5.95,6.022,5.825,5.916,36047556,EUR
